"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -1.19588861e-03, 4.07604807e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.56371316e-04, 4.07604807e-03, -1.19588861e-03, 0.00000000e+00, -2.93394139e-01, 0.00000000e+00, 0.00000000e+00, -1.77135103e-02, 3.21311465e+00, -1.06804173e+01, 6.22209406e+00, 0.00000000e+00, 3.0000000000, 2.0000000000, 0.0003459752
           1, -1.93055083e-03, 8.13353719e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -9.54779485e-04, 8.13353719e-03, -1.93055083e-03, 0.00000000e+00, -2.37356858e-01, 0.00000000e+00, 0.00000000e+00, -7.69296672e-02, 3.14791553e+00, 1.41619677e+00, 6.16079542e+00, 0.00000000e+00, 3.0000000000, 2.0020000000, 0.0007283287
           2, -2.30068900e-03, 1.27417238e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.26584965e-03, 1.27417238e-02, -2.30068900e-03, 0.00000000e+00, -1.80563402e-01, 0.00000000e+00, 0.00000000e+00, -1.14520689e-01, 3.10031628e+00, 1.72867721e+00, 6.12359121e+00, 0.00000000e+00, 3.0000000000, 2.1432466401, 0.0010763116
           3, -2.19891561e-03, 1.79521676e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.47394893e-03, 1.79521676e-02, -2.19891561e-03, 0.00000000e+00, -1.22487471e-01, 0.00000000e+00, 0.00000000e+00, -1.39318120e-01, 3.05997603e+00, 1.93669316e+00, 6.10070194e+00, 0.00000000e+00, 4.0000000000, 2.2380390621, 0.0014318734
           4, -1.80122012e-03, 2.42121367e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.69002353e-03, 2.42121367e-02, -1.80122012e-03, 0.00000000e+00, -7.43932743e-02, 0.00000000e+00, 0.00000000e+00, -1.55884176e-01, 3.02241200e+00, 2.09810077e+00, 6.08622664e+00, 0.00000000e+00, 4.0000000000, 2.3028538576, 0.0018154361
           5, -1.01902163e-03, 3.15189370e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.94647170e-03, 3.15189370e-02, -1.01902163e-03, 0.00000000e+00, -3.23304569e-02, 0.00000000e+00, 0.00000000e+00, -1.71124876e-01, 2.98200127e+00, 2.22944064e+00, 6.07198540e+00, 0.00000000e+00, 4.0000000000, 2.3471962669, 0.0022638231
           6, 2.34005301e-04, 3.97907057e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.22714453e-03, 3.97907057e-02, 2.34005301e-04, 0.00000000e+00, 5.88090352e-03, 0.00000000e+00, 0.00000000e+00, -1.90974316e-01, 2.93969244e+00, 2.34164892e+00, 6.05358911e+00, 0.00000000e+00, 4.0000000000, 2.3887448081, 0.0026485521
           7, 1.73409769e-03, 4.87606434e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.58388137e-03, 4.87606434e-02, 1.73409769e-03, 0.00000000e+00, 3.55634702e-02, 0.00000000e+00, 0.00000000e+00, -2.17374442e-01, 2.91767724e+00, 2.44055522e+00, 6.02667577e+00, 0.00000000e+00, 4.0000000000, 2.4439621505, 0.0030058114
           8, 3.31917544e-03, 5.78374884e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.94736815e-03, 5.78374884e-02, 3.31917544e-03, 0.00000000e+00, 5.73879595e-02, 0.00000000e+00, 0.00000000e+00, -2.43332218e-01, 2.92292190e+00, 2.54034493e+00, 5.99966906e+00, 0.00000000e+00, 5.0000000000, 2.5193849969, 0.0034004894
           9, 4.69894444e-03, 6.59983687e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.25968605e-03, 6.59983687e-02, 4.69894444e-03, 0.00000000e+00, 7.11978876e-02, 0.00000000e+00, 0.00000000e+00, -2.49020620e-01, 2.93967802e+00, 2.62866770e+00, 5.99734141e+00, 0.00000000e+00, 5.0000000000, 2.5958131419, 0.0038170676
