"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
89, 4.271475540643247e-01, -4.587630209085638e-02, 1.417439394477203e+05, 2.279450957539477e-02, 2.588934400238829e+00
90, 4.221600113380711e-01, -4.594458310830939e-02, 1.427774149289804e+05, 2.337734443141541e-02, 2.584376016727220e+00
91, 4.171724114493011e-01, -4.600855678186287e-02, 1.437917507750938e+05, 2.394938537244020e-02, 2.579959048887335e+00
92, 4.121847617584970e-01, -4.606852065634214e-02, 1.447711677759319e+05, 2.450173361583694e-02, 2.575643361538916e+00
93, 4.071970687642043e-01, -4.612477232750225e-02, 1.457227758871453e+05, 2.503839886483824e-02, 2.571504363716095e+00
94, 4.022093384310583e-01, -4.617760943144308e-02, 1.466672891879129e+05, 2.557106295183835e-02, 2.567489329143334e+00
95, 3.972215758569782e-01, -4.622731248361264e-02, 1.476115623020026e+05, 2.610359158408379e-02, 2.563436388338877e+00
96, 3.922337827239283e-01, -4.627385595985619e-02, 1.485863663785161e+05, 2.665333834042712e-02, 2.559183170781866e+00
97, 3.872459586112931e-01, -4.631695062220857e-02, 1.495664141931160e+05, 2.720604233512585e-02, 2.554955290827359e+00
98, 3.822581038263522e-01, -4.635629858765183e-02, 1.505853439000625e+05, 2.778067401223078e-02, 2.550756154124807e+00
99, 3.772702186422780e-01, -4.639160196332952e-02, 1.516540437445207e+05, 2.838337386459170e-02, 2.546364600046984e+00
100, 3.722823045839668e-01, -4.642256283918026e-02, 1.527957870742190e+05, 2.902726703984716e-02, 2.541810633409272e+00
101, 3.672943639527038e-01, -4.644888329638812e-02, 1.539883885560864e+05, 2.969984198291855e-02, 2.536943636509997e+00
102, 3.623063997635901e-01, -4.647026541248837e-02, 1.552336079257991e+05, 3.040209110756708e-02, 2.531915240904177e+00
103, 3.573184158462216e-01, -4.648641126632391e-02, 1.565211068329454e+05, 3.112818403747228e-02, 2.526730025956804e+00
104, 3.523304171266509e-01, -4.649702294404796e-02, 1.577844217408732e+05, 3.184063825222837e-02, 2.521745255971723e+00
105, 3.473424095251550e-01, -4.650195131176164e-02, 1.589911349226879e+05, 3.252117157530600e-02, 2.517014208581535e+00
106, 3.423543994537975e-01, -4.650180007977499e-02, 1.601893378524712e+05, 3.319690548939197e-02, 2.512409759877881e+00
107, 3.373663920121124e-01, -4.649667280290872e-02, 1.614035946511702e+05, 3.388169308162291e-02, 2.507916881693961e+00
108, 3.323783921748764e-01, -4.648656950159088e-02, 1.626306963204592e+05, 3.457372461764995e-02, 2.503242916355683e+00
109, 3.273904048899560e-01, -4.647149021600604e-02, 1.639111826111207e+05, 3.529586273934412e-02, 2.498410244455598e+00
110, 3.224024351366702e-01, -4.645143500622476e-02, 1.652637453524369e+05, 3.605864881882875e-02, 2.493303743655133e+00
111, 3.174144878712726e-01, -4.642640395205959e-02, 1.667219028769314e+05, 3.688098572594915e-02, 2.487951803873944e+00
112, 3.124265680438142e-01, -4.639639715305958e-02, 1.681460671389437e+05, 3.768415192355218e-02, 2.482914100462413e+00
113, 3.074386806572676e-01, -4.636141472892332e-02, 1.695567978420990e+05, 3.847974218298912e-02, 2.478056809776380e+00
114, 3.024508306192280e-01, -4.632145681850064e-02, 1.708589390203342e+05, 3.921409271176018e-02, 2.473291879505750e+00
115, 2.974630195453660e-01, -4.627689013068630e-02, 1.720145528245569e+05, 3.986580822646050e-02, 2.469005367925574e+00
